"","Lineage","n","coinfection","CAPE_only","GPL_only","GPL_min","GPL_max","GPL_mean","CAPE_min","CAPE_mean","CAPE_max","GPL_single_min","GPL_single_max","GPL_single_mean","CAPE_single_min","CAPE_single_max","CAPE_single_mean","GPL_co_min","GPL_co_max","GPL_co_mean","CAPE_co_min","CAPE_co_max","CAPE_co_mean"
"1","CONTROL",20,0,0,0,Inf,-Inf,NA,Inf,NA,-Inf,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA
"2","EU_CAPE ",20,0,3,0,Inf,-Inf,NA,0.157138444,5.68001828466667,16.64274931,Inf,-Inf,NA,0.157138444,16.64274931,5.68001828466667,Inf,-Inf,NA,Inf,-Inf,NA
"3","EU_CAPE_EU_GPL",20,3,1,2,1.71580404,61.0096693,33.4562272434,0.381723531,48.485050128,173.8425636,8.169540167,61.0096693,34.5896047335,0.381723531,173.8425636,48.485050128,1.71580404,52.82384396,32.70064225,0.381723531,17.38686442,6.699212304
"4","EU_CAPE_SHAM",20,0,1,0,Inf,-Inf,NA,6.162612438,6.162612438,6.162612438,Inf,-Inf,NA,6.162612438,6.162612438,6.162612438,Inf,-Inf,NA,Inf,-Inf,NA
"5","EU_GPL ",20,0,0,12,0.73421672,954.833374,232.177808251333,Inf,NA,-Inf,0.73421672,954.833374,232.177808251333,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA
"6","EU_GPL_EU_CAPE",20,0,1,5,31.49010658,419.2816162,228.928610802,4.166173637,4.166173637,4.166173637,31.49010658,419.2816162,228.928610802,4.166173637,4.166173637,4.166173637,Inf,-Inf,NA,Inf,-Inf,NA
"7","EU_GPL_SHAM",20,0,0,5,10.7688868,69.49661255,32.165640592,Inf,NA,-Inf,10.7688868,69.49661255,32.165640592,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA
"8","ZA_CAPE ",20,0,4,0,Inf,-Inf,NA,3.820921183,72.611314964,262.4107552,Inf,-Inf,NA,3.820921183,262.4107552,72.611314964,Inf,-Inf,NA,Inf,-Inf,NA
"9","ZA_CAPE_SHAM",20,0,0,0,Inf,-Inf,NA,Inf,NA,-Inf,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA
"10","ZA_CAPE_ZA_GPL",20,0,1,4,5.681638122,137.6340294,51.6429714905,4.933077693,4.933077693,4.933077693,5.681638122,137.6340294,51.6429714905,4.933077693,4.933077693,4.933077693,Inf,-Inf,NA,Inf,-Inf,NA
"11","ZA_GPL ",20,0,0,2,0.346986912,1.086225435,0.7166061735,Inf,NA,-Inf,0.346986912,1.086225435,0.7166061735,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA
"12","ZA_GPL_SHAM",20,0,0,0,Inf,-Inf,NA,Inf,NA,-Inf,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA,Inf,-Inf,NA
"13","ZA_GPL_ZA_CAPE",20,0,4,1,60.4855299,60.4855299,60.4855299,0.775171295,19.47794640375,45.01155853,60.4855299,60.4855299,60.4855299,0.775171295,45.01155853,19.47794640375,Inf,-Inf,NA,Inf,-Inf,NA
